ID,Category,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12
3B_19_0-1,Haustier ,... ich in die Schule kam war,nimand im Klassenzimmer? Aber,dan habe ich ein bellen gehört.,Ich ging so schnell auf den,Pausenplatz & Dort waren alle,mit iren Tieren und sie warteten,schon auf mich der Lehrer,sagte Schon das du da bist.,,,,,
3B_19_2-3,Zauberei,... Eine Hexe gesehen hat sie zauberte,das das Schulhaus auseinander fält.,Alle haben die Hexe angestart,aber das gefälte der Hexe garnicht. &,Sie verhexte alle Kinder in Würmer, Frösche &(hier hat das Kind ein ""&"" geschrieben) Maden. Und da war das ganze,Scvhulhaus foler.,,,,,,
3B_19_4-5,Flaschenpost,In der Flaschenpost war eine,Schatzkarte. Ich schaute mir,die Karte genaueran dort war,zum beispiel eine Kreutz darauf.,Und ein weg aus & roten,Strichen zu sehen. Ich probierte,den Schatz zu finden. Was,mir auch gelang. In einer,,,,,
3B_19_6-7,Maschine,... kann Kekse Backen. Mann kann alle Kekse,"Backen die mann will. Zum beispiel Cockies, &",Meilönderli. Mann muss nur die Zutaten dazu,"schüten. Wie zum beispiel Mehl, Zucker.",,,,,,,,,
3B_19_8-9,Ich fliege!,Ich fliege hoch hinauf über die schöne,"Landschaft. Ich fliege über Berge, Stränd",Felder undsoweiter. Einmal fliege ich in ein,Wasserfall. & dort ist es ganz nass. Dann,fliege ich in mein Haus und mache eine,kleinen Snack. Dann gehe ich Schlafen.,,,,,,,
3B_19_10-11,Zoowächter,...die ganze Futterküche ist leer.,Sie suchen nach den Tieren,aber sie finden keins. Wo stecke,n die Tiere bloss? Irgendwann,in der Nacht fahrt der Zoowächter &,durch denn Jungel. Dort sieht er,ganz viele Tiere. Sind es die,aus dem Zoo oder nicht.,Doch das sieht ,,,,
3B_19_12-13,Postbote,Zuerst wolte Sabrina es,zurück bringen aber der,Postbote war schon über,alle Berge. Also nahm,Sabrina das Paket und,ging nach hause. zuhause,wolte Sabrina & das Paket ihrer,Mutter zeigen aber die,Mutter war nich da.,Also machte Sabrina,das Paket auf. Im Paket,war ein gutschein für,in die
3B_19_14-15,ferne Insel,Jezt denkt er wenn er schon hier ist,kann er auch für eine Nacht bleiben.,Alsoblieb er plötzlich kamm eine Flaschen,post er machte sie & auf drinen,war eine Schatzkarte. Auf der Karte,war ein Jungel abgebildet er ging,also nach Karte in Osten. ,,,,,,
3B_19_16-17,lustiger Traum,... Clowns. Wir waren nämlich im Zirkus.,Und dort haben wir mega lustige,Clowns gesehn. z.B. sie sin auf mini,Fahräder gefahren. Oder sie haten,Schuhe die bei jedem schrit &,quitschen. Oder er ist auf ein,Stuhl mit einen Balonn abgesitzt.,Und sie sind die ganze zeit,auf's Popo gefallen.,,,,
3B_19_18-19,Zelten,"Die vier Freund hissen Naomi, Anne, Lucie, Naima.",Sie gingen in denn Wald weil sie mal in der,Nacht denn Wald sehen wolten. Als erstes als,sie da waren bauten sie die 2 Zelten,"auf eines für Lucie, Naima das andere für &","Anne, Naomi. Dann gingen sie schlafen mitten",in der Nacht hörten sie ein Heulen,und als sie das Zelt öffneten,stand ein Rudel Wölfe vor inen,sie schlisten das Zelt,,,
